档位,院校代号,院校名称,专业组类型,2025专业组名称,2025投档线,2025投档位次,位次比值,2026有美术计划,2026计划人数,2026美术组数,2025备注要求
垫底(过保),4204,武汉城市学院（原武汉科技大学城市学院）,普通,第101组(美术与设计类),278.6,8739,3.7,是,7,1,
垫底(过保),4205,武汉华夏理工学院,普通,第101组(美术与设计类),278.5,8767,3.71,是,6,1,
垫底(过保),5235,贵州黔南科技学院,普通,第101组(美术与设计类),278.4,8799,3.72,是,12,1,
垫底(过保),4733,衡阳师范学院南岳学院,普通,第103组(美术与设计类),278.4,8799,3.72,是,43,1,
垫底(过保),3540,福州大学至诚学院,普通,第102组(美术与设计类),278.3,8824,3.73,是,6,1,
垫底(过保),2176,沈阳工学院,普通,第102组(美术与设计类),278.2,8849,3.74,是,6,1,
垫底(过保),1228,天津商业大学宝德学院,普通,第103组(美术与设计类),278.0,8892,3.76,是,5,1,
垫底(过保),4839,湖北工程学院新技术学院,普通,第101组(美术与设计类),277.9,8916,3.77,是,10,1,
垫底(过保),5234,贵阳信息科技学院,普通,第101组(美术与设计类),277.9,8916,3.77,是,4,1,
垫底(过保),5028,重庆城市科技学院,普通,第102组(美术与设计类),277.8,8939,3.78,是,89,1,
垫底(过保),5045,重庆外语外事学院,普通,第105组(美术与设计类),277.7,8966,3.79,是,6,1,
垫底(过保),4214,武昌首义学院,普通,第101组(美术与设计类),277.6,8993,3.8,是,16,1,
垫底(过保),3628,景德镇艺术职业大学,普通,第102组(美术与设计类),277.6,8993,3.8,是,4,1,
垫底(过保),4822,三峡大学科技学院,普通,第103组(美术与设计类),277.5,9013,3.81,是,4,1,
垫底(过保),6177,西安科技大学高新学院,普通,第101组(美术与设计类),277.3,9056,3.83,是,2,1,
垫底(过保),4243,湖北工业大学工程技术学院,普通,第101组(美术与设计类),277.2,9082,3.84,是,2,1,
垫底(过保),4837,汉口学院,普通,第101组(美术与设计类),277.1,9097,3.85,是,7,1,
垫底(过保),4556,广西民族大学相思湖学院,普通,第102组(美术与设计类),277.0,9125,3.86,是,4,1,
垫底(过保),5235,贵州黔南科技学院,普通,第102组(美术与设计类),276.7,9192,3.89,是,12,1,
垫底(过保),1145,北京邮电大学世纪学院,普通,第101组(美术与设计类),276.5,9242,3.91,是,6,1,
垫底(过保),4240,文华学院,普通,第102组(美术与设计类),276.5,9242,3.91,是,6,1,
垫底(过保),3380,浙江越秀外国语学院,普通,第103组(美术与设计类),276.4,9274,3.92,是,5,1,
垫底(过保),2152,大连艺术学院,普通,第104组(美术与设计类),276.4,9274,3.92,是,19,2,
垫底(过保),3529,福建师范大学协和学院,普通,第102组(美术与设计类),276.2,9321,3.94,是,2,1,
垫底(过保),3290,常州大学怀德学院,普通,第101组(美术与设计类),276.1,9340,3.95,是,21,1,
垫底(过保),4824,湖北大学知行学院,普通,第101组(美术与设计类),276.1,9340,3.95,是,2,1,
垫底(过保),3795,青岛电影学院,普通,第102组(美术与设计类),276.1,9340,3.95,是,2,1,
垫底(过保),4736,湖南工程学院应用技术学院,普通,第101组(美术与设计类),276.0,9365,3.96,否,,,
垫底(过保),4824,湖北大学知行学院,普通,第102组(美术与设计类),275.9,9386,3.97,是,2,1,
垫底(过保),1394,燕京理工学院,普通,第101组(美术与设计类),275.7,9441,3.99,是,9,1,
垫底(过保),2249,吉林动画学院,普通,第101组(美术与设计类),275.7,9441,3.99,是,59,1,
垫底(过保),4831,湖北商贸学院,普通,第101组(美术与设计类),275.7,9441,3.99,是,17,2,
垫底(过保),4223,武汉纺织大学外经贸学院,普通,第101组(美术与设计类),275.6,9467,4.0,是,8,1,
垫底(过保),4897,广东理工学院,普通,第101组(美术与设计类),275.5,9492,4.02,是,6,1,
垫底(过保),4533,南宁学院,普通,第101组(美术与设计类),275.4,9519,4.03,是,8,1,
垫底(过保),1364,河北美术学院,普通,第102组(美术与设计类),275.4,9519,4.03,是,10,2,
垫底(过保),4829,武汉工程大学邮电与信息工程学院,普通,第101组(美术与设计类),275.1,9591,4.06,是,17,1,
垫底(过保),4838,武汉晴川学院,普通,第101组(美术与设计类),275.1,9591,4.06,是,6,1,
垫底(过保),4731,湘潭理工学院,普通,第101组(美术与设计类),274.9,9633,4.07,是,90,1,
垫底(过保),3656,江西应用科技学院,普通,第102组(美术与设计类),274.8,9666,4.09,是,9,1,
垫底(过保),1252,天津仁爱学院,普通,第101组(美术与设计类),274.5,9739,4.12,是,3,1,
垫底(过保),4840,武汉设计工程学院,普通,第106组(美术与设计类),274.5,9739,4.12,是,36,1,
垫底(过保),5345,昆明传媒学院,普通,第105组(美术与设计类),274.3,9776,4.14,是,5,1,
垫底(过保),4450,广州应用科技学院,普通,第101组(美术与设计类),274.0,9858,4.17,是,4,2,
垫底(过保),4820,湖北恩施学院,普通,第102组(美术与设计类),274.0,9858,4.17,是,15,1,
垫底(过保),6148,西安培华学院,普通,第102组(美术与设计类),273.8,9909,4.19,是,10,1,
垫底(过保),6160,西安思源学院,普通,第102组(美术与设计类),273.8,9909,4.19,是,6,2,
垫底(过保),2178,辽宁传媒学院,普通,第101组(美术与设计类),273.6,9951,4.21,是,3,1,
垫底(过保),4456,广州华立学院,普通,第103组(美术与设计类),273.5,9967,4.22,是,8,1,
垫底(过保),3670,江西服装学院,普通,第102组(美术与设计类),273.4,9990,4.23,是,7,1,
垫底(过保),4554,南宁理工学院,普通,第102组(美术与设计类),273.4,9990,4.23,是,13,1,
垫底(过保),4729,中南林业科技大学涉外学院,普通,第102组(美术与设计类),273.3,10013,4.24,是,170,1,
垫底(过保),6159,陕西服装工程学院,普通,第103组(美术与设计类),273.1,10058,4.25,是,7,2,
垫底(过保),4580,广西外国语学院,普通,第104组(美术与设计类),272.8,10137,4.29,是,8,1,
垫底(过保),3521,厦门工学院,普通,第101组(美术与设计类),272.6,10179,4.31,是,5,1,
垫底(过保),4553,桂林信息科技学院,普通,第101组(美术与设计类),272.4,10237,4.33,是,12,1,
垫底(过保),2252,吉林师范大学博达学院,普通,第101组(美术与设计类),272.1,10312,4.36,是,10,1,
垫底(过保),3599,福州外语外贸学院,普通,第101组(美术与设计类),271.7,10410,4.4,是,18,1,
垫底(过保),4489,华南农业大学珠江学院,普通,第101组(美术与设计类),271.7,10410,4.4,是,5,1,
垫底(过保),1352,保定理工学院,普通,第101组(美术与设计类),271.4,10489,4.44,是,5,1,
垫底(过保),2148,大连科技学院,普通,第101组(美术与设计类),271.4,10489,4.44,是,21,1,
垫底(过保),4495,广东工商职业技术大学,普通,第102组(美术与设计类),271.2,10534,4.46,是,3,1,
垫底(过保),5371,云南经济管理学院,普通,第102组(美术与设计类),271.2,10534,4.46,是,4,1,
垫底(过保),5344,滇池学院,普通,第103组(美术与设计类),270.8,10618,4.49,是,20,1,
垫底(过保),4564,北海艺术设计学院,普通,第103组(美术与设计类),269.7,10868,4.6,是,35,1,
垫底(过保),6427,银川科技学院,普通,第101组(美术与设计类),269.5,10911,4.62,是,4,1,
垫底(过保),5347,昆明城市学院,普通,第104组(美术与设计类),269.0,11015,4.66,是,21,1,
垫底(过保),1143,北京金融科技学院,普通,第103组(美术与设计类),268.6,11079,4.69,是,3,1,
垫底(过保),4732,张家界学院,普通,第107组(美术与设计类),268.5,11098,4.69,是,162,1,
垫底(过保),3348,温州商学院,普通,第101组(美术与设计类),268.3,11129,4.71,是,11,1,
垫底(过保),3162,上海中侨职业技术大学,普通,第101组(美术与设计类),268.2,11147,4.72,是,1,1,
垫底(过保),1158,首都师范大学科德学院,普通,第103组(美术与设计类),268.2,11147,4.72,否,,,
垫底(过保),5348,丽江文化旅游学院,普通,第101组(美术与设计类),267.8,11222,4.75,是,16,1,
垫底(过保),2380,黑龙江工程学院昆仑旅游学院,普通,第101组(美术与设计类),267.0,11376,4.81,是,20,1,
垫底(过保),4630,三亚学院,普通,第101组(美术与设计类),266.9,11392,4.82,是,16,1,
垫底(过保),4899,湛江科技学院,普通,第103组(美术与设计类),266.8,11418,4.83,是,22,1,
垫底(过保),4734,岳阳学院,普通,第101组(美术与设计类),266.6,11446,4.84,是,82,1,
垫底(过保),4745,湖南应用技术学院,普通,第101组(美术与设计类),266.3,11505,4.87,是,398,2,
垫底(过保),6157,陕西国际商贸学院,普通,第101组(美术与设计类),266.3,11505,4.87,是,20,1,
垫底(过保),4650,海南科技职业大学,普通,第102组(美术与设计类),264.4,11806,4.99,是,10,1,
垫底(过保),4711,湖南软件职业技术大学,普通,第101组(美术与设计类),263.7,11904,5.04,是,210,1,
垫底(过保),1161,北京工业大学耿丹学院,普通,第101组(美术与设计类),263.5,11937,5.05,是,12,1,
垫底(过保),3169,上海外国语大学贤达经济人文学院,普通,第101组(美术与设计类),261.5,12164,5.15,是,8,1,
垫底(过保),4757,湖南信息学院,普通,第105组(美术与设计类),260.8,12241,5.18,是,446,1,
垫底(过保),3343,浙江广厦建设职业技术大学,普通,第101组(美术与设计类),257.3,12516,5.29,是,62,1,
