成绩,本段人数,累计人数
272,9,31
271,14,45
270,16,61
269,25,86
268,25,111
267,32,143
266,68,211
265,58,269
264,55,324
263,52,376
262,85,461
261,117,578
260,86,664
259,75,739
258,162,901
257,246,1147
256,213,1360
255,117,1477
254,115,1592
253,307,1899
252,372,2271
251,306,2577
250,146,2723
249,193,2916
248,570,3486
247,622,4108
246,373,4481
245,127,4608
244,414,5022
243,870,5892
242,752,6644
241,303,6947
240,149,7096
239,729,7825
238,1151,8976
237,690,9666
236,166,9832
235,111,9943
234,784,10727
233,879,11606
232,367,11973
231,58,12031
230,121,12152
229,706,12858
228,568,13426
227,118,13544
226,14,13558
225,148,13706
224,546,14252
223,258,14510
222,42,14552
221,3,14555
220,125,14680
219,278,14958
218,83,15041
217,14,15055
216,3,15058
215,94,15152
214,148,15300
213,49,15349
212,6,15355
211,1,15356
210,67,15423
209,68,15491
208,23,15514
207,7,15521
206,6,15527
205,26,15553
204,41,15594
203,23,15617
202,8,15625
201,6,15631
200,6,15637
199,13,15650
198,17,15667
197,12,15679
196,6,15685
195,6,15691
194,5,15696
193,6,15702
192,4,15706
191,9,15715
190,8,15723
189,6,15729
188,4,15733
185,1,15734
184,1,15735
183,2,15737
182,1,15738
181,4,15742
180,2,15744
179,1,15745
178,1,15746
174,2,15748
173,1,15749
172,2,15751
169,1,15752
166,1,15753
160,1,15754
159,1,15755
