年份,综合成绩,本段人数,累计人数
2026,328.6,1,418
2026,328.5,6,424
2026,328.4,4,428
2026,328.3,5,433
2026,328.2,4,437
2026,328.1,3,440
2026,327.9,1,441
2026,327.8,5,446
2026,327.7,8,454
2026,327.6,3,457
2026,327.5,4,461
2026,327.4,7,468
2026,327.3,5,473
2026,327.2,7,480
2026,327.1,4,484
2026,327.0,5,489
2026,326.9,4,493
2026,326.8,3,496
2026,326.7,8,504
2026,326.6,2,506
2026,326.5,4,510
2026,326.4,5,515
2026,326.3,1,516
2026,326.2,2,518
2026,326.1,2,520
2026,326.0,3,523
2026,325.9,3,526
2026,325.8,4,530
2026,325.7,5,535
2026,325.6,5,540
2026,325.5,5,545
2026,325.4,2,547
2026,325.3,3,550
2026,325.2,3,553
2026,325.1,1,554
2026,325.0,7,561
2026,324.9,5,566
2026,324.7,2,568
2026,324.6,8,576
2026,324.5,2,578
2026,324.4,5,583
2026,324.3,4,587
2026,324.2,5,592
2026,324.1,7,599
2026,324.0,1,600
2026,323.9,8,608
2026,323.8,2,610
2026,323.7,7,617
2026,323.6,3,620
2026,323.5,6,626
2026,323.4,1,627
2026,323.3,8,635
2026,323.2,5,640
2026,323.1,5,645
2026,323.0,3,648
2026,322.9,10,658
2026,322.8,6,664
2026,322.7,6,670
2026,322.6,6,676
2026,322.5,6,682
2026,322.4,5,687
2026,322.3,9,696
2026,322.2,1,697
2026,322.1,8,705
2026,322.0,6,711
2026,321.9,9,720
2026,321.8,8,728
2026,321.7,4,732
2026,321.6,5,737
2026,321.5,6,743
2026,321.4,4,747
2026,321.3,8,755
2026,321.2,4,759
2026,321.1,5,764
2026,321.0,2,766
2026,320.9,3,769
2026,320.8,5,774
2026,320.7,8,782
2026,320.6,5,787
2026,320.5,9,796
2026,320.4,4,800
2026,320.3,4,804
2026,320.2,6,810
2026,320.1,2,812
2026,320.0,10,822
2026,319.9,5,827
2026,319.8,2,829
2026,319.7,4,833
2026,319.6,1,834
2026,319.5,10,844
2026,319.4,3,847
2026,319.3,7,854
2026,319.2,5,859
2026,319.0,5,864
2026,318.9,8,872
2026,318.8,11,883
2026,318.7,5,888
2026,318.6,5,893
2026,318.5,7,900
2026,318.4,3,903
2026,318.3,7,910
2026,318.2,8,918
2026,318.1,6,924
2026,318.0,4,928
2026,317.9,4,932
2026,317.8,10,942
2026,317.7,3,945
2026,317.6,6,951
2026,317.5,7,958
2026,317.4,8,966
2026,317.3,4,970
2026,317.2,5,975
2026,317.1,13,988
2026,317.0,5,993
2026,316.9,9,1002
2026,316.8,5,1007
2026,316.7,8,1015
2026,316.6,6,1021
2026,316.5,6,1027
2026,316.4,5,1032
2026,316.3,5,1037
2026,316.2,10,1047
2026,316.1,9,1056
2026,316.0,9,1065
2026,315.9,6,1071
2026,315.8,10,1081
2026,315.7,5,1086
2026,315.6,8,1094
2026,315.5,4,1098
2026,315.4,8,1106
2026,315.3,13,1119
2026,315.2,5,1124
2026,315.1,3,1127
2026,315.0,4,1131
2026,314.9,7,1138
2026,314.8,9,1147
2026,314.7,6,1153
2026,314.6,10,1163
2026,314.5,3,1166
2026,314.4,13,1179
2026,314.3,6,1185
2026,314.2,6,1191
2026,314.1,13,1204
2026,314.0,3,1207
2026,313.9,4,1211
2026,313.8,10,1221
2026,313.7,7,1228
2026,313.6,12,1240
2026,313.5,14,1254
2026,313.4,6,1260
2026,313.3,9,1269
2026,313.2,13,1282
2026,313.1,8,1290
2026,313.0,7,1297
2026,312.9,10,1307
2026,312.8,10,1317
2026,312.7,7,1324
2026,312.6,11,1335
2026,312.5,10,1345
2026,312.4,6,1351
2026,312.3,10,1361
2026,312.2,7,1368
2026,312.1,8,1376
2026,312.0,5,1381
2026,311.9,7,1388
2026,311.8,14,1402
2026,311.7,8,1410
2026,311.6,11,1421
2026,311.5,9,1430
2026,311.4,9,1439
2026,311.3,10,1449
2026,311.2,11,1460
2026,311.1,3,1463
2026,311.0,10,1473
2026,310.9,12,1485
2026,310.8,12,1497
2026,310.7,8,1505
2026,310.6,8,1513
2026,310.5,6,1519
2026,310.4,13,1532
2026,310.3,12,1544
2026,310.2,8,1552
2026,310.1,8,1560
2026,310.0,10,1570
2026,309.9,10,1580
2026,309.8,6,1586
2026,309.7,11,1597
2026,309.6,9,1606
2026,309.5,8,1614
2026,309.4,8,1622
2026,309.3,5,1627
2026,309.2,10,1637
2026,309.1,12,1649
2026,309.0,12,1661
2026,308.9,12,1673
2026,308.8,12,1685
2026,308.7,12,1697
2026,308.6,13,1710
2026,308.5,12,1722
2026,308.4,14,1736
2026,308.3,16,1752
2026,308.2,13,1765
2026,308.1,8,1773
2026,308.0,8,1781
2026,307.9,12,1793
2026,307.8,12,1805
2026,307.7,13,1818
2026,307.6,17,1835
2026,307.5,14,1849
2026,307.4,4,1853
2026,307.3,17,1870
2026,307.2,11,1881
2026,307.1,13,1894
2026,307.0,20,1914
2026,306.9,12,1926
2026,306.8,18,1944
2026,306.7,15,1959
2026,306.6,19,1978
2026,306.5,9,1987
2026,306.4,13,2000
2026,306.3,11,2011
2026,306.2,7,2018
2026,306.1,13,2031
2026,306.0,8,2039
2026,305.9,12,2051
2026,305.8,9,2060
2026,305.7,11,2071
2026,305.6,6,2077
2026,305.5,7,2084
2026,305.4,11,2095
2026,305.3,15,2110
2026,305.2,12,2122
2026,305.1,3,2125
2026,305.0,9,2134
2026,304.9,14,2148
2026,304.8,14,2162
2026,304.7,13,2175
2026,304.6,10,2185
2026,304.5,11,2196
2026,304.4,16,2212
2026,304.3,9,2221
2026,304.2,14,2235
2026,304.1,15,2250
2026,304.0,11,2261
2026,303.9,16,2277
2026,303.8,15,2292
2026,303.7,12,2304
2026,303.6,16,2320
2026,303.5,14,2334
2026,303.4,15,2349
2026,303.3,16,2365
2026,303.2,16,2381
2026,303.1,11,2392
2026,303.0,12,2404
2026,302.9,14,2418
2026,302.8,8,2426
2026,302.7,14,2440
2026,302.6,12,2452
2026,302.5,8,2460
2026,302.4,13,2473
2026,302.3,18,2491
2026,302.2,17,2508
2026,302.1,9,2517
2026,302.0,15,2532
2026,301.9,10,2542
2026,301.8,13,2555
2026,301.7,22,2577
2026,301.6,15,2592
2026,301.5,10,2602
2026,301.4,15,2617
2026,301.3,10,2627
2026,301.2,14,2641
2026,301.1,13,2654
2026,301.0,12,2666
2026,300.9,17,2683
2026,300.8,17,2700
2026,300.7,23,2723
2026,300.6,14,2737
2026,300.5,15,2752
2026,300.4,12,2764
2026,300.3,14,2778
2026,300.2,14,2792
2026,300.1,14,2806
2026,300.0,17,2823
2026,299.9,10,2833
2026,299.8,16,2849
2026,299.7,21,2870
2026,299.6,15,2885
2026,299.5,16,2901
2026,299.4,18,2919
2026,299.3,22,2941
2026,299.2,16,2957
2026,299.1,17,2974
2026,299.0,12,2986
2026,298.9,20,3006
2026,298.8,18,3024
2026,298.7,11,3035
2026,298.6,13,3048
2026,298.5,16,3064
2026,298.4,13,3077
2026,298.3,16,3093
2026,298.2,20,3113
2026,298.1,13,3126
2026,298.0,14,3140
2026,297.9,14,3154
2026,297.8,18,3172
2026,297.7,18,3190
2026,297.6,19,3209
2026,297.5,20,3229
2026,297.4,17,3246
2026,297.3,22,3268
2026,297.2,19,3287
2026,297.1,11,3298
2026,297.0,21,3319
2026,296.9,19,3338
2026,296.8,18,3356
2026,296.7,20,3376
2026,296.6,30,3406
2026,296.5,21,3427
2026,296.4,13,3440
2026,296.3,17,3457
2026,296.2,13,3470
2026,296.1,24,3494
2026,296.0,20,3514
2026,295.9,18,3532
2026,295.8,16,3548
2026,295.7,15,3563
2026,295.6,24,3587
2026,295.5,27,3614
2026,295.4,15,3629
2026,295.3,30,3659
2026,295.2,23,3682
2026,295.1,23,3705
2026,295.0,24,3729
2026,294.9,19,3748
2026,294.8,15,3763
2026,294.7,23,3786
2026,294.6,18,3804
2026,294.5,20,3824
2026,294.4,20,3844
2026,294.3,22,3866
2026,294.2,11,3877
2026,294.1,21,3898
2026,294.0,19,3917
2026,293.9,10,3927
2026,293.8,23,3950
2026,293.7,18,3968
2026,293.6,24,3992
2026,293.5,26,4018
2026,293.4,18,4036
2026,293.3,13,4049
2026,293.2,27,4076
2026,293.1,18,4094
2026,293.0,21,4115
2026,292.9,21,4136
2026,292.8,19,4155
2026,292.7,32,4187
2026,292.6,17,4204
2026,292.5,17,4221
2026,292.4,14,4235
2026,292.3,21,4256
2026,292.2,25,4281
2026,292.1,30,4311
2026,292.0,25,4336
2026,291.9,21,4357
2026,291.8,17,4374
2026,291.7,27,4401
2026,291.6,14,4415
2026,291.5,25,4440
2026,291.4,18,4458
2026,291.3,23,4481
2026,291.2,17,4498
2026,291.1,22,4520
2026,291.0,16,4536
2026,290.9,24,4560
2026,290.8,22,4582
2026,290.7,27,4609
2026,290.6,16,4625
2026,290.5,18,4643
2026,290.4,24,4667
2026,290.3,18,4685
2026,290.2,22,4707
2026,290.1,20,4727
2026,290.0,20,4747
2026,289.9,14,4761
2026,289.8,14,4775
2026,289.7,22,4797
2026,289.6,24,4821
2026,289.5,28,4849
2026,289.4,18,4867
2026,289.3,18,4885
2026,289.2,21,4906
2026,289.1,18,4924
2026,289.0,19,4943
2026,288.9,29,4972
2026,288.8,21,4993
2026,288.7,20,5013
2026,288.6,27,5040
2026,288.5,23,5063
2026,288.4,22,5085
2026,288.3,23,5108
2026,288.2,29,5137
2026,288.1,22,5159
2026,288.0,20,5179
2026,287.9,21,5200
2026,287.8,30,5230
2026,287.7,23,5253
2026,287.6,27,5280
2026,287.5,19,5299
2026,287.4,20,5319
2026,287.3,17,5336
2026,287.2,27,5363
2026,287.1,25,5388
2026,287.0,19,5407
2026,286.9,24,5431
2026,286.8,23,5454
2026,286.7,26,5480
2026,286.6,24,5504
2026,286.5,25,5529
2026,286.4,27,5556
2026,286.3,19,5575
2026,286.2,27,5602
2026,286.1,24,5626
2026,286.0,19,5645
2026,285.9,17,5662
2026,285.8,20,5682
2026,285.7,23,5705
2026,285.6,23,5728
2026,285.5,19,5747
2026,285.4,23,5770
2026,285.3,30,5800
2026,285.2,22,5822
2026,285.1,21,5843
2026,285.0,20,5863
2026,284.9,21,5884
2026,284.8,16,5900
2026,284.7,25,5925
2026,284.6,20,5945
2026,284.5,23,5968
2026,284.4,26,5994
2026,284.3,21,6015
2026,284.2,25,6040
2026,284.1,34,6074
2026,284.0,19,6093
2026,283.9,18,6111
2026,283.8,23,6134
2026,283.7,14,6148
2026,283.6,28,6176
2026,283.5,29,6205
2026,283.4,21,6226
2026,283.3,19,6245
2026,283.2,14,6259
2026,283.1,23,6282
2026,283.0,25,6307
2026,282.9,35,6342
2026,282.8,27,6369
2026,282.7,15,6384
2026,282.6,34,6418
2026,282.5,22,6440
2026,282.4,26,6466
2026,282.3,32,6498
2026,282.2,25,6523
2026,282.1,20,6543
2026,282.0,24,6567
2026,281.9,16,6583
2026,281.8,25,6608
2026,281.7,19,6627
2026,281.6,17,6644
2026,281.5,20,6664
2026,281.4,24,6688
2026,281.3,19,6707
2026,281.2,25,6732
2026,281.1,25,6757
2026,281.0,24,6781
2026,280.9,24,6805
2026,280.8,24,6829
2026,280.7,30,6859
2026,280.6,26,6885
2026,280.5,20,6905
2026,280.4,31,6936
2026,280.3,21,6957
2026,280.2,25,6982
2026,280.1,16,6998
2026,280.0,21,7019
2026,279.9,15,7034
2026,279.8,23,7057
2026,279.7,25,7082
2026,279.6,25,7107
2026,279.5,25,7132
2026,279.4,19,7151
2026,279.3,25,7176
2026,279.2,20,7196
2026,279.1,32,7228
2026,279.0,28,7256
2026,278.9,24,7280
2026,278.8,9,7289
2026,278.7,19,7308
2026,278.6,24,7332
2026,278.5,17,7349
2026,278.4,18,7367
2026,278.3,19,7386
2026,278.2,18,7404
2026,278.1,25,7429
2026,278.0,27,7456
2026,277.9,24,7480
2026,277.8,30,7510
2026,277.7,31,7541
2026,277.6,18,7559
2026,277.5,25,7584
2026,277.4,24,7608
2026,277.3,19,7627
2026,277.2,23,7650
2026,277.1,23,7673
2026,277.0,44,7717
2026,276.9,22,7739
2026,276.8,24,7763
2026,276.7,25,7788
2026,276.6,26,7814
2026,276.5,11,7825
2026,276.4,23,7848
2026,276.3,18,7866
2026,276.2,15,7881
2026,276.1,28,7909
2026,276.0,20,7929
2026,275.9,16,7945
2026,275.8,13,7958
2026,275.7,28,7986
2026,275.6,13,7999
2026,275.5,21,8020
2026,275.4,30,8050
2026,275.3,12,8062
2026,275.2,19,8081
2026,275.1,21,8102
2026,275.0,21,8123
2026,274.9,26,8149
2026,274.8,23,8172
2026,274.7,34,8206
2026,274.6,19,8225
2026,274.5,21,8246
2026,274.4,19,8265
2026,274.3,15,8280
2026,274.2,23,8303
2026,274.1,19,8322
2026,274.0,25,8347
2026,273.9,26,8373
2026,273.8,16,8389
2026,273.7,25,8414
2026,273.6,28,8442
2026,273.5,20,8462
2026,273.4,23,8485
2026,273.3,20,8505
2026,273.2,28,8533
2026,273.1,24,8557
2026,273.0,29,8586
2026,272.9,28,8614
2026,272.8,23,8637
2026,272.7,20,8657
2026,272.6,30,8687
2026,272.5,22,8709
2026,272.4,19,8728
2026,272.3,18,8746
2026,272.2,16,8762
2026,272.1,27,8789
2026,272.0,26,8815
2026,271.9,20,8835
2026,271.8,23,8858
2026,271.7,16,8874
2026,271.6,28,8902
2026,271.5,22,8924
2026,271.4,22,8946
2026,271.3,18,8964
2026,271.2,17,8981
2026,271.1,19,9000
2026,271.0,20,9020
2026,270.9,24,9044
2026,270.8,19,9063
2026,270.7,13,9076
2026,270.6,20,9096
2026,270.5,17,9113
2026,270.4,19,9132
2026,270.3,24,9156
2026,270.2,13,9169
2026,270.1,20,9189
2026,270.0,29,9218
2026,269.9,19,9237
2026,269.8,24,9261
2026,269.7,17,9278
2026,269.6,26,9304
2026,269.5,21,9325
2026,269.4,18,9343
2026,269.3,24,9367
2026,269.2,17,9384
2026,269.1,23,9407
2026,269.0,8,9415
2026,268.9,20,9435
2026,268.8,19,9454
2026,268.7,18,9472
2026,268.6,19,9491
2026,268.5,19,9510
2026,268.4,23,9533
2026,268.3,18,9551
2026,268.2,19,9570
2026,268.1,21,9591
2026,268.0,10,9601
2026,267.9,19,9620
2026,267.8,17,9637
2026,267.7,18,9655
2026,267.6,24,9679
2026,267.5,17,9696
2026,267.4,21,9717
2026,267.3,22,9739
2026,267.2,24,9763
2026,267.1,16,9779
2026,267.0,18,9797
2026,266.9,21,9818
2026,266.8,17,9835
2026,266.7,30,9865
2026,266.6,20,9885
2026,266.5,12,9897
2026,266.4,17,9914
2026,266.3,20,9934
2026,266.2,20,9954
2026,266.1,23,9977
2026,266.0,17,9994
2026,265.9,9,10003
2026,265.8,17,10020
2026,265.7,13,10033
2026,265.6,15,10048
2026,265.5,17,10065
2026,265.4,14,10079
2026,265.3,11,10090
2026,265.2,17,10107
2026,265.1,13,10120
2026,265.0,17,10137
2026,264.9,19,10156
2026,264.8,19,10175
2026,264.7,15,10190
2026,264.6,9,10199
2026,264.5,15,10214
2026,264.4,13,10227
2026,264.3,27,10254
2026,264.2,11,10265
2026,264.1,15,10280
2026,264.0,16,10296
2026,263.9,15,10311
2026,263.8,12,10323
2026,263.7,10,10333
2026,263.6,11,10344
2026,263.5,20,10364
2026,263.4,12,10376
2026,263.3,18,10394
2026,263.2,11,10405
2026,263.1,5,10410
2026,263.0,7,10417
2026,262.9,9,10426
2026,262.8,13,10439
2026,262.7,8,10447
2026,262.6,11,10458
2026,262.5,12,10470
2026,262.4,10,10480
2026,262.3,9,10489
2026,262.2,16,10505
2026,262.1,17,10522
2026,262.0,8,10530
2026,261.9,9,10539
2026,261.8,16,10555
2026,261.7,9,10564
2026,261.6,12,10576
2026,261.5,14,10590
2026,261.4,20,10610
2026,261.3,7,10617
2026,261.2,9,10626
2026,261.1,14,10640
2026,261.0,10,10650
2026,260.9,13,10663
2026,260.8,14,10677
2026,260.7,5,10682
2026,260.6,8,10690
2026,260.5,7,10697
2026,260.4,6,10703
2026,260.3,11,10714
2026,260.2,7,10721
2026,260.1,7,10728
2026,260.0,13,10741
2026,259.9,10,10751
2026,259.8,11,10762
2026,259.7,7,10769
2026,259.6,12,10781
2026,259.5,9,10790
2026,259.4,9,10799
2026,259.3,8,10807
2026,259.2,8,10815
2026,259.1,15,10830
2026,259.0,8,10838
2026,258.9,7,10845
2026,258.8,4,10849
2026,258.7,11,10860
2026,258.6,8,10868
2026,258.5,11,10879
2026,258.4,10,10889
2026,258.3,6,10895
2026,258.2,6,10901
2026,258.1,6,10907
2026,258.0,11,10918
2026,257.9,5,10923
2026,257.8,7,10930
2026,257.7,9,10939
2026,257.6,12,10951
2026,257.5,7,10958
2026,257.4,8,10966
2026,257.3,8,10974
2026,257.2,5,10979
2026,257.1,1,10980
2026,257.0,9,10989
2026,256.9,4,10993
2026,256.8,5,10998
2026,256.7,4,11002
2026,256.6,7,11009
2026,256.5,7,11016
2026,256.4,7,11023
2026,256.3,2,11025
2026,256.2,4,11029
2026,256.1,5,11034
2026,256.0,3,11037
2026,255.9,3,11040
2026,255.8,1,11041
2026,255.7,4,11045
2026,255.6,8,11053
2026,255.5,4,11057
2026,255.4,5,11062
2026,255.3,2,11064
2026,255.2,6,11070
2026,255.1,3,11073
2026,255.0,7,11080
2026,254.9,8,11088
2026,254.8,3,11091
2026,254.7,2,11093
2026,254.6,5,11098
2026,254.5,1,11099
2026,254.4,1,11100
2026,254.3,1,11101
2026,254.2,6,11107
2026,254.1,4,11111
2026,254.0,6,11117
2026,253.9,1,11118
2026,253.8,6,11124
2026,253.7,1,11125
2026,253.6,3,11128
2026,253.5,4,11132
2026,253.4,3,11135
2026,253.3,4,11139
2026,253.2,2,11141
2026,253.1,3,11144
2026,253.0,2,11146
2026,252.9,4,11150
2026,252.8,3,11153
2026,252.7,5,11158
2026,252.6,2,11160
2026,252.5,1,11161
2026,252.4,3,11164
2026,252.3,2,11166
2026,252.2,3,11169
2026,252.1,3,11172
2026,252.0,1,11173
2026,251.7,2,11175
2026,251.6,1,11176
2026,251.5,1,11177
2026,251.4,2,11179
2026,251.3,2,11181
2026,251.1,1,11182
2026,251.0,2,11184
2026,250.8,1,11185
2026,250.6,3,11188
2026,250.5,2,11190
2026,250.2,1,11191
2026,250.1,4,11195
2026,250.0,2,11197
2026,249.9,1,11198
2026,249.6,1,11199
2026,249.3,1,11200
2026,249.2,1,11201
2026,249.0,1,11202
2026,248.9,1,11203
2026,248.8,1,11204
2026,248.5,3,11207
2026,248.3,1,11208
2026,248.2,2,11210
2026,247.9,2,11212
2026,247.2,1,11213
2026,246.6,1,11214
2026,246.4,1,11215
2026,246.3,1,11216
2026,245.5,1,11217
2026,245.0,1,11218
2026,244.8,1,11219
2026,244.4,2,11221
2026,244.3,1,11222
2026,243.6,1,11223
2026,243.4,1,11224
2026,243.0,1,11225
2026,242.3,1,11226
2026,239.3,1,11227
2026,236.9,1,11228
