年份,综合成绩,本段人数,累计人数
2025,322.8,7,775
2025,322.7,10,785
2025,322.6,2,787
2025,322.5,7,794
2025,322.4,6,800
2025,322.3,4,804
2025,322.2,8,812
2025,322.1,9,821
2025,322.0,8,829
2025,321.9,7,836
2025,321.8,5,841
2025,321.7,7,848
2025,321.6,11,859
2025,321.5,6,865
2025,321.4,6,871
2025,321.3,9,880
2025,321.2,5,885
2025,321.1,4,889
2025,321.0,1,890
2025,320.9,5,895
2025,320.8,11,906
2025,320.7,2,908
2025,320.6,10,918
2025,320.5,5,923
2025,320.4,8,931
2025,320.3,12,943
2025,320.2,5,948
2025,320.1,6,954
2025,320.0,6,960
2025,319.9,9,969
2025,319.8,5,974
2025,319.7,5,979
2025,319.6,5,984
2025,319.5,6,990
2025,319.4,9,999
2025,319.3,7,1006
2025,319.2,9,1015
2025,319.1,4,1019
2025,319.0,5,1024
2025,318.9,8,1032
2025,318.8,1,1033
2025,318.7,9,1042
2025,318.6,13,1055
2025,318.5,7,1062
2025,318.4,8,1070
2025,318.3,8,1078
2025,318.2,8,1086
2025,318.1,5,1091
2025,318.0,7,1098
2025,317.9,7,1105
2025,317.8,9,1114
2025,317.7,6,1120
2025,317.6,11,1131
2025,317.5,6,1137
2025,317.4,11,1148
2025,317.3,13,1161
2025,317.2,8,1169
2025,317.1,10,1179
2025,317.0,4,1183
2025,316.9,13,1196
2025,316.8,7,1203
2025,316.7,13,1216
2025,316.6,12,1228
2025,316.5,10,1238
2025,316.4,6,1244
2025,316.3,10,1254
2025,316.2,8,1262
2025,316.1,7,1269
2025,316.0,11,1280
2025,315.9,8,1288
2025,315.8,9,1297
2025,315.7,7,1304
2025,315.6,12,1316
2025,315.5,7,1323
2025,315.4,11,1334
2025,315.3,8,1342
2025,315.2,7,1349
2025,315.1,10,1359
2025,315.0,8,1367
2025,314.9,12,1379
2025,314.8,9,1388
2025,314.7,11,1399
2025,314.6,11,1410
2025,314.5,16,1426
2025,314.4,11,1437
2025,314.3,11,1448
2025,314.2,9,1457
2025,314.1,13,1470
2025,314.0,8,1478
2025,313.9,13,1491
2025,313.8,7,1498
2025,313.7,13,1511
2025,313.6,14,1525
2025,313.5,13,1538
2025,313.4,11,1549
2025,313.3,13,1562
2025,313.2,7,1569
2025,313.1,10,1579
2025,313.0,14,1593
2025,312.9,9,1602
2025,312.8,9,1611
2025,312.7,11,1622
2025,312.6,7,1629
2025,312.5,11,1640
2025,312.4,10,1650
2025,312.3,15,1665
2025,312.2,14,1679
2025,312.1,12,1691
2025,312.0,14,1705
2025,311.9,12,1717
2025,311.8,12,1729
2025,311.7,12,1741
2025,311.6,10,1751
2025,311.5,12,1763
2025,311.4,14,1777
2025,311.3,15,1792
2025,311.2,10,1802
2025,311.1,7,1809
2025,311.0,8,1817
2025,310.9,10,1827
2025,310.8,10,1837
2025,310.7,15,1852
2025,310.6,10,1862
2025,310.5,14,1876
2025,310.4,12,1888
2025,310.3,18,1906
2025,310.2,13,1919
2025,310.1,15,1934
2025,310.0,13,1947
2025,309.9,13,1960
2025,309.8,7,1967
2025,309.7,8,1975
2025,309.6,9,1984
2025,309.5,16,2000
2025,309.4,15,2015
2025,309.3,7,2022
2025,309.2,13,2035
2025,309.1,20,2055
2025,309.0,14,2069
2025,308.9,15,2084
2025,308.8,12,2096
2025,308.7,12,2108
2025,308.6,15,2123
2025,308.5,14,2137
2025,308.4,10,2147
2025,308.3,11,2158
2025,308.2,10,2168
2025,308.1,12,2180
2025,308.0,13,2193
2025,307.9,15,2208
2025,307.8,10,2218
2025,307.7,13,2231
2025,307.6,14,2245
2025,307.5,17,2262
2025,307.4,14,2276
2025,307.3,12,2288
2025,307.2,11,2299
2025,307.1,13,2312
2025,307.0,17,2329
2025,306.9,15,2344
2025,306.8,15,2359
2025,306.7,13,2372
2025,306.6,10,2382
2025,306.5,11,2393
2025,306.4,14,2407
2025,306.3,9,2416
2025,306.2,14,2430
2025,306.1,16,2446
2025,306.0,18,2464
2025,305.9,18,2482
2025,305.8,7,2489
2025,305.7,18,2507
2025,305.6,20,2527
2025,305.5,23,2550
2025,305.4,20,2570
2025,305.3,21,2591
2025,305.2,13,2604
2025,305.1,14,2618
2025,305.0,17,2635
2025,304.9,20,2655
2025,304.8,12,2667
2025,304.7,27,2694
2025,304.6,19,2713
2025,304.5,13,2726
2025,304.4,9,2735
2025,304.3,15,2750
2025,304.2,20,2770
2025,304.1,12,2782
2025,304.0,14,2796
2025,303.9,14,2810
2025,303.8,19,2829
2025,303.7,16,2845
2025,303.6,22,2867
2025,303.5,22,2889
