综合成绩,本段人数,累计人数
339.6,3,198
339.5,1,199
339.4,4,203
339.3,2,205
339.2,4,209
339.1,1,210
339,2,212
338.9,1,213
338.8,2,215
338.7,2,217
338.6,1,218
338.4,2,220
338.3,1,221
338.2,4,225
338,3,228
337.9,1,229
337.8,2,231
337.7,3,234
337.6,2,236
337.5,4,240
337.4,4,244
337.3,1,245
337.2,2,247
337.1,1,248
337,3,251
336.8,1,252
336.7,1,253
336.5,4,257
336.4,2,259
336.3,4,263
336.2,1,264
336.1,2,266
335.9,3,269
335.7,1,270
335.6,2,272
335.5,6,278
335.4,3,281
335.3,2,283
335.2,4,287
335.1,2,289
335,2,291
334.9,2,293
334.7,2,295
334.6,1,296
334.5,4,300
334.4,2,302
334.3,5,307
334.2,2,309
334.1,3,312
334,3,315
333.9,1,316
333.8,5,321
333.7,2,323
333.6,2,325
333.5,3,328
333.4,1,329
333.3,4,333
333.2,2,335
333.1,2,337
333,2,339
332.9,6,345
332.8,6,351
332.7,4,355
332.6,2,357
332.5,4,361
332.3,2,363
332.2,1,364
332.1,2,366
332,4,370
331.9,1,371
331.8,2,373
331.7,2,375
331.6,3,378
331.5,4,382
331.4,4,386
331.3,4,390
331.2,6,396
331.1,3,399
331,3,402
330.9,2,404
330.8,6,410
330.7,2,412
330.6,4,416
330.5,3,419
330.4,3,422
330.3,4,426
330.2,2,428
330.1,5,433
330,7,440
329.9,1,441
329.8,7,448
329.7,2,450
329.6,5,455
329.5,3,458
329.4,5,463
329.3,4,467
329.2,3,470
329.1,1,471
329,4,475
328.9,1,476
328.8,3,479
328.7,3,482
328.6,4,486
328.5,2,488
328.4,1,489
328.3,3,492
328.2,3,495
328.1,8,503
328,5,508
327.9,4,512
327.8,2,514
327.7,7,521
327.6,5,526
327.5,3,529
327.4,5,534
327.3,6,540
327.2,5,545
327.1,5,550
327,4,554
326.9,4,558
326.8,5,563
326.7,10,573
326.6,6,579
326.5,5,584
326.4,2,586
326.3,8,594
326.2,6,600
326.1,3,603
326,5,608
325.9,10,618
325.8,4,622
325.7,4,626
325.6,4,630
325.5,7,637
325.4,5,642
325.3,5,647
325.2,7,654
325.1,7,661
325,2,663
324.9,6,669
324.8,5,674
324.7,9,683
324.6,7,690
324.5,3,693
324.4,2,695
324.3,2,697
324.2,4,701
324.1,3,704
324,8,712
323.9,9,721
323.8,4,725
323.7,6,731
323.6,4,735
323.5,4,739
323.4,6,745
323.3,6,751
323.2,3,754
323.1,6,760
323,4,764
322.9,4,768
322.8,7,775
322.7,10,785
322.6,2,787
322.5,7,794
322.4,6,800
322.3,4,804
322.2,8,812
322.1,9,821
322,8,829
321.9,7,836
321.8,5,841
321.7,7,848
321.6,11,859
321.5,6,865
321.4,6,871
321.3,9,880
321.2,5,885
321.1,4,889
321,1,890
320.9,5,895
320.8,11,906
320.7,2,908
320.6,10,918
320.5,5,923
320.4,8,931
320.3,12,943
320.2,5,948
320.1,6,954
320,6,960
319.9,9,969
319.8,5,974
319.7,5,979
319.6,5,984
319.5,6,990
319.4,9,999
319.3,7,1006
319.2,9,1015
319.1,4,1019
319,5,1024
318.9,8,1032
318.8,1,1033
318.7,9,1042
318.6,13,1055
318.5,7,1062
318.4,8,1070
318.3,8,1078
318.2,8,1086
318.1,5,1091
318,7,1098
317.9,7,1105
317.8,9,1114
317.7,6,1120
317.6,11,1131
317.5,6,1137
317.4,11,1148
317.3,13,1161
317.2,8,1169
317.1,10,1179
317,4,1183
316.9,13,1196
316.8,7,1203
316.7,13,1216
316.6,12,1228
316.5,10,1238
316.4,6,1244
316.3,10,1254
316.2,8,1262
316.1,7,1269
316,11,1280
315.9,8,1288
315.8,9,1297
315.7,7,1304
315.6,12,1316
315.5,7,1323
315.4,11,1334
315.3,8,1342
315.2,7,1349
315.1,10,1359
315,8,1367
314.9,12,1379
314.8,9,1388
314.7,11,1399
314.6,11,1410
314.5,16,1426
314.4,11,1437
314.3,11,1448
314.2,9,1457
314.1,13,1470
314,8,1478
313.9,13,1491
313.8,7,1498
313.7,13,1511
313.6,14,1525
313.5,13,1538
313.4,11,1549
313.3,13,1562
313.2,7,1569
313.1,10,1579
313,14,1593
312.9,9,1602
312.8,9,1611
312.7,11,1622
312.6,7,1629
312.5,11,1640
312.4,10,1650
312.3,15,1665
312.2,14,1679
312.1,12,1691
312,14,1705
311.9,12,1717
311.8,12,1729
311.7,12,1741
311.6,10,1751
311.5,12,1763
311.4,14,1777
311.3,15,1792
311.2,10,1802
311.1,7,1809
311,8,1817
310.9,10,1827
310.8,10,1837
310.7,15,1852
310.6,10,1862
310.5,14,1876
310.4,12,1888
310.3,18,1906
310.2,13,1919
310.1,15,1934
310,13,1947
309.9,13,1960
309.8,7,1967
309.7,8,1975
309.6,9,1984
309.5,16,2000
309.4,15,2015
309.3,7,2022
309.2,13,2035
309.1,20,2055
309,14,2069
308.9,15,2084
308.8,12,2096
308.7,12,2108
308.6,15,2123
308.5,14,2137
308.4,10,2147
308.3,11,2158
308.2,10,2168
308.1,12,2180
308,13,2193
307.9,15,2208
307.8,10,2218
307.7,13,2231
307.6,14,2245
307.5,17,2262
307.4,14,2276
307.3,12,2288
307.2,11,2299
307.1,13,2312
307,17,2329
306.9,15,2344
306.8,15,2359
306.7,13,2372
306.6,10,2382
306.5,11,2393
306.4,14,2407
306.3,9,2416
306.2,14,2430
306.1,16,2446
306,18,2464
305.9,18,2482
305.8,7,2489
305.7,18,2507
305.6,20,2527
305.5,23,2550
305.4,20,2570
305.3,21,2591
305.2,13,2604
305.1,14,2618
305,17,2635
304.9,20,2655
304.8,12,2667
304.7,27,2694
304.6,19,2713
304.5,13,2726
304.4,9,2735
304.3,15,2750
304.2,20,2770
304.1,12,2782
304,14,2796
303.9,14,2810
303.8,19,2829
303.7,16,2845
303.6,22,2867
303.5,22,2889
303.4,13,2902
303.3,15,2917
303.2,15,2932
303.1,20,2952
303,18,2970
302.9,22,2992
302.8,14,3006
302.7,20,3026
302.6,21,3047
302.5,19,3066
302.4,12,3078
302.3,22,3100
302.2,10,3110
302.1,10,3120
302,17,3137
301.9,15,3152
301.8,14,3166
301.7,22,3188
301.6,24,3212
301.5,15,3227
301.4,32,3259
301.3,17,3276
301.2,19,3295
301.1,16,3311
301,16,3327
300.9,12,3339
300.8,27,3366
300.7,16,3382
300.6,15,3397
300.5,15,3412
300.4,18,3430
300.3,27,3457
300.2,27,3484
300.1,13,3497
300,27,3524
299.9,11,3535
299.8,13,3548
299.7,31,3579
299.6,30,3609
299.5,17,3626
299.4,20,3646
299.3,17,3663
299.2,24,3687
299.1,16,3703
299,15,3718
298.9,28,3746
298.8,22,3768
298.5,17,3823
298.4,24,3847
298.3,27,3874
298.2,19,3893
298.1,21,3914
298,19,3933
297.9,25,3958
297.8,20,3978
297.7,19,3997
297.6,21,4018
297.5,16,4034
297.4,16,4050
297.3,22,4072
297.2,29,4101
297.1,24,4125
297,20,4145
296.9,25,4170
296.8,28,4198
296.7,18,4216
296.6,21,4237
296.5,18,4255
296.4,21,4276
296.3,30,4306
296.2,21,4327
296.1,15,4342
296,18,4360
295.9,25,4385
295.8,24,4409
295.7,17,4426
295.6,21,4447
295.5,16,4463
295.4,17,4480
295.3,25,4505
295.2,17,4522
295.1,30,4552
295,22,4574
294.9,29,4603
294.8,20,4623
294.7,21,4644
294.6,24,4668
294.5,26,4694
294.4,26,4720
294.3,7,4727
294.2,17,4744
294.1,28,4772
294,18,4790
293.9,25,4815
293.8,14,4829
293.7,27,4856
293.6,27,4883
293.5,19,4902
293.4,20,4922
293.3,21,4943
293.2,16,4959
293.1,23,4982
293,23,5005
292.9,26,5031
292.8,24,5055
292.7,23,5078
292.6,35,5113
292.5,20,5133
292.4,25,5158
292.3,23,5181
292.2,17,5198
292.1,27,5225
292,31,5256
291.9,24,5280
291.8,30,5310
291.7,24,5334
291.6,20,5354
291.5,22,5376
291.4,16,5392
291.3,26,5418
291.2,26,5444
291.1,26,5470
291,23,5493
290.9,23,5516
290.8,27,5543
290.7,18,5561
290.6,29,5590
290.5,28,5618
290.4,19,5637
290.3,22,5659
290.2,25,5684
290.1,29,5713
290,19,5732
289.9,37,5769
289.8,20,5789
289.7,18,5807
289.6,29,5836
289.5,21,5857
289.4,28,5885
289.3,27,5912
289.2,22,5934
289.1,21,5955
289,28,5983
288.9,27,6010
288.8,24,6034
288.7,30,6064
288.6,18,6082
288.5,35,6117
288.4,27,6144
288.3,25,6169
288.2,23,6192
288.1,23,6215
288,27,6242
287.9,20,6262
287.8,21,6283
287.7,30,6313
287.6,25,6338
287.5,32,6370
287.4,19,6389
287.3,24,6413
287.2,27,6440
287.1,25,6465
287,31,6496
286.9,22,6518
286.8,22,6540
286.7,25,6565
286.6,28,6593
286.5,24,6617
286.4,25,6642
286.3,26,6668
286.2,34,6702
286.1,27,6729
286,26,6755
285.9,19,6774
285.8,28,6802
285.7,29,6831
285.6,30,6861
285.5,28,6889
285.4,23,6912
285.3,33,6945
285.2,33,6978
285.1,26,7004
285,26,7030
284.9,22,7052
284.8,17,7069
284.7,15,7084
284.6,21,7105
284.5,26,7131
284.4,34,7165
284.3,34,7199
284.2,27,7226
284.1,31,7257
284,39,7296
283.9,31,7327
283.8,27,7354
283.7,33,7387
283.6,20,7407
283.5,30,7437
283.4,31,7468
283.3,21,7489
283.2,29,7518
283.1,31,7549
283,26,7575
282.9,33,7608
282.8,37,7645
282.7,36,7681
282.6,34,7715
282.5,32,7747
282.4,27,7774
282.3,19,7793
282.2,31,7824
282.1,35,7859
282,29,7888
281.9,26,7914
281.8,25,7939
281.7,24,7963
281.6,25,7988
281.5,22,8010
281.4,18,8028
281.3,25,8053
281.2,22,8075
281.1,21,8096
281,27,8123
280.9,28,8151
280.8,17,8168
280.7,22,8190
280.6,26,8216
280.5,18,8234
280.4,30,8264
280.3,26,8290
280.2,29,8319
280.1,21,8340
280,26,8366
279.9,33,8399
279.8,21,8420
279.7,33,8453
279.6,38,8491
279.5,21,8512
279.4,27,8539
279.3,34,8573
279.2,19,8592
279.1,24,8616
279,31,8647
278.9,15,8662
278.8,27,8689
278.7,24,8713
278.6,26,8739
278.5,28,8767
278.4,32,8799
278.3,25,8824
278.2,25,8849
278.1,20,8869
278,23,8892
277.9,24,8916
277.8,23,8939
277.7,27,8966
277.6,27,8993
277.5,20,9013
277.4,19,9032
277.3,24,9056
277.2,26,9082
277.1,15,9097
277,28,9125
276.9,20,9145
276.8,17,9162
276.7,30,9192
276.6,20,9212
276.5,30,9242
276.4,32,9274
276.3,25,9299
276.2,22,9321
276.1,19,9340
276,25,9365
275.9,21,9386
275.8,32,9418
275.7,23,9441
275.6,26,9467
275.5,25,9492
275.4,27,9519
275.3,20,9539
275.2,30,9569
275.1,22,9591
275,22,9613
274.9,20,9633
274.8,33,9666
274.7,27,9693
274.6,22,9715
274.5,24,9739
274.4,19,9758
274.3,18,9776
274.2,23,9799
274.1,26,9825
274,33,9858
273.9,33,9891
273.8,18,9909
273.7,21,9930
273.6,21,9951
273.5,16,9967
273.4,23,9990
273.3,23,10013
273.2,18,10031
273.1,27,10058
273,23,10081
272.9,23,10104
272.8,33,10137
272.7,19,10156
272.6,23,10179
272.5,28,10207
272.4,30,10237
272.3,23,10260
272.2,25,10285
272.1,27,10312
272,32,10344
271.9,24,10368
271.8,18,10386
271.7,24,10410
271.6,19,10429
271.5,28,10457
271.4,32,10489
271.3,21,10510
271.2,24,10534
271.1,17,10551
271,20,10571
270.9,22,10593
270.8,25,10618
270.7,28,10646
270.6,30,10676
270.5,25,10701
270.4,17,10718
270.3,21,10739
270.2,20,10759
270.1,27,10786
270,17,10803
269.9,23,10826
269.8,19,10845
269.7,23,10868
269.6,22,10890
269.5,21,10911
269.4,22,10933
269.3,25,10958
269.2,18,10976
269.1,17,10993
269,22,11015
268.9,13,11028
268.8,17,11045
268.7,15,11060
268.6,19,11079
268.5,19,11098
268.4,15,11113
268.3,16,11129
268.2,18,11147
268.1,9,11156
268,21,11177
267.9,26,11203
267.8,19,11222
267.7,12,11234
267.6,22,11256
267.5,18,11274
267.4,18,11292
267.3,25,11317
267.2,27,11344
267.1,14,11358
267,18,11376
266.9,16,11392
266.8,26,11418
266.7,16,11434
266.6,12,11446
266.5,19,11465
266.4,18,11483
266.3,22,11505
266.2,10,11515
266.1,23,11538
266,18,11556
265.9,15,11571
265.8,19,11590
265.7,14,11604
265.6,16,11620
265.5,15,11635
265.4,17,11652
265.3,12,11664
265.2,19,11683
265.1,17,11700
265,19,11719
264.9,13,11732
264.8,13,11745
264.7,11,11756
264.6,15,11771
264.5,22,11793
264.4,13,11806
264.3,15,11821
264.2,10,11831
264.1,13,11844
264,14,11858
263.9,11,11869
263.8,17,11886
263.7,18,11904
263.6,22,11926
263.5,11,11937
263.4,10,11947
263.3,15,11962
263.2,15,11977
263.1,16,11993
263,13,12006
262.9,7,12013
262.8,10,12023
262.7,11,12034
262.6,12,12046
262.5,16,12062
262.4,6,12068
262.3,4,12072
262.2,12,12084
262.1,15,12099
262,12,12111
261.9,13,12124
261.8,16,12140
261.7,10,12150
261.6,6,12156
261.5,8,12164
261.4,7,12171
261.3,14,12185
261.2,11,12196
261.1,12,12208
261,15,12223
260.9,7,12230
260.8,11,12241
260.7,10,12251
260.6,9,12260
260.5,6,12266
260.4,12,12278
260.3,11,12289
260.2,7,12296
260.1,7,12303
260,6,12309
259.9,9,12318
259.8,7,12325
259.7,6,12331
259.6,15,12346
259.5,5,12351
259.4,10,12361
259.3,3,12364
259.2,8,12372
259.1,6,12378
259,5,12383
258.9,7,12390
258.8,2,12392
258.7,12,12404
258.6,10,12414
258.5,2,12416
258.4,13,12429
258.3,12,12441
258.2,8,12449
258.1,9,12458
258,7,12465
257.9,4,12469
257.8,10,12479
257.7,6,12485
257.6,5,12490
257.5,12,12502
257.4,5,12507
257.3,9,12516
257.2,1,12517
257.1,11,12528
257,3,12531
256.9,2,12533
256.8,7,12540
256.7,7,12547
256.6,3,12550
256.5,2,12552
256.4,4,12556
256.2,2,12558
256.1,7,12565
256,4,12569
255.9,1,12570
255.8,7,12577
255.7,2,12579
255.6,3,12582
255.5,3,12585
255.4,4,12589
255.3,1,12590
255.2,3,12593
255.1,3,12596
254.9,6,12602
254.8,3,12605
254.7,2,12607
254.6,7,12614
254.3,6,12620
254.2,3,12623
254.1,2,12625
254,3,12628
253.9,3,12631
253.8,1,12632
253.6,2,12634
253.5,2,12636
253.3,4,12640
253.2,3,12643
252.9,3,12646
252.7,1,12647
252.6,3,12650
252.5,1,12651
252.3,2,12653
252.2,2,12655
252.1,1,12656
252,1,12657
251.8,1,12658
251.7,4,12662
251.5,1,12663
251.4,2,12665
251.3,1,12666
251.1,1,12667
250.8,1,12668
250.1,1,12669
